# THE MEDIA LIBRARY, ONE ROW PER FILE
#
# Generated by tools/media.py. Every column but the last is computed from the
# file, so nothing in it can quietly drift; tools/check.py C21 fails when it
# does. The caption is the one column written by hand, and it is carried over
# whenever this file is regenerated.
#
# Rebuild after adding or removing media:   python3 tools/media.py scan
# Check without rewriting anything:         python3 tools/media.py verify
#
#   path      relative to the top of the repository
#   kind      photo, image, video, document or model
#   bytes     size on disk
#   pixels    WIDTHxHEIGHT as stored, before any EXIF rotation is applied
#   captured  local time the shutter opened, or the recording started.
#             Blank where a file was made rather than shot.
#   made      local time THIS version was written, where that differs from the
#             capture: a photograph marked up afterwards, or an export that
#             carries no capture time at all. Blank when the two agree, which
#             is the normal case. It is here because the file name's tHHMM
#             token may follow either one, and C23 has to be able to tell a
#             real timestamp from an invented one.
#             Where a token-bearing file has no timestamp inside it at all, as
#             the PNG exports do, this was recovered once from the modification
#             time and is preserved verbatim from then on: a clone resets
#             mtimes, so reading it twice would give two different answers.
#   sha256    of the file as it stands. This is the integrity baseline.
#   caption   what the file shows, in one line.
#
# What is NOT here, and where it lives instead:
#   00_inbox/          untracked staging, nothing filed yet
#   01_survey/         the deliverable, whose freshness is 01_survey/DERIVED.txt
#   qr-survey.*        regenerated from the published URL, see MAINTENANCE.md
#   CONTACT-SHEET.jpg  generated from these rows, so listing it here would make
#                      the manifest describe its own output
path	kind	bytes	pixels	captured	made	sha256	caption
02_printed-sheets/01_sheet-1-operating-principle.jpg	photo	4226670	4080x3072	2026-09-06 22:09:24		1d9e309769494099d1fae5a6861c5d24fadc21bc2b85cad764672739620fa811	Sheet 1, PRINCIPIO DI FUNZIONAMENTO IN ESERCIZIO, square on. The origin of the valve letters A to H, L and M and of the sump N.
02_printed-sheets/02_sheet-1-operating-principle_angled.jpg	photo	1928571	4080x3072	2026-09-06 22:09:03		121fc3e271be5ac5a21815915c1276dba4ae163c2c83594b73d0201ed05a1cf8	Sheet 1 again, photographed at an angle rather than square on.
02_printed-sheets/03_sheet-2-salt-electrolysis.jpg	photo	4725025	4080x3072	2026-09-06 22:09:45		615be9ab2df97d7b534270042b88175a5818eadf6f5e8f8e4c6797d125af84eb	Sheet 2, TRATTAMENTO ELETTROLISI AL SALE: what the cell does, the salt range, and the 15 C temperature threshold.
02_printed-sheets/04_sheet-3-cleaning-and-backwash.jpg	photo	4598167	4080x3072	2026-09-06 22:10:48		30d7a8eb2ec1593af408904e8eabe88f4a1e3a0c12013b380212ff82d45eda6f	Sheet 3, PULIZIA: backwash, vacuuming and emptying, with the handwritten notes in the margins.
02_printed-sheets/05_sheet-4-water-control.jpg	photo	1624499	3072x4080	2026-09-06 22:11:17		1ea6110aef237fd5903f09e666e7340c91e4831b2f936a38207e1b29f89d9f88	Sheet 4, CONTROLLO ACQUA: pH and chlorine targets and what to do when they drift. Tagged Rotate 270 CW, so anything ignoring EXIF shows it on its side.
03_nameplates/01_filter-plate-kripsol.jpg	photo	4296190	4096x3072	2026-09-06 23:10:07		047a256bd008244613128af1aeca10b9f546d29b7eec14fbf317c10846754add	The Kripsol filter's data plate filling the frame. The 760 column gives 0.45 m2 of bed, 22 m3/h, and 225 kg of 0.4 to 0.8 mm sand.
03_nameplates/02_filter-plate-kripsol_on-vessel.jpg	photo	1174647	4080x3072	2026-09-06 23:09:48		3215e7be701121b7a20ba11bb6cecefd6006ab7c2e0aee26e65ef5bc5ae8fc78	The same plate in place on the red vessel, which is what ties the figures above to this particular filter.
03_nameplates/03_valve-dial-kripsol.jpg	photo	2647636	4096x3072	2026-09-06 22:13:44		1618577f1ee90118a23f78eaefd1929723fb629e9bc7e054eed1f83be18e3632	The six-way valve dial: all seven positions, and NEVER SHIFT HANDLE WHILE PUMP IS RUNNING cast into the rim in four languages.
03_nameplates/04_pump-plate-dab-europro-200m.jpg	photo	3213712	3072x4096	2026-09-06 22:14:09		86a800bff75030d0e3dfb2b88abb9418f39cdfde3540c1f6ee45749f7d916072	The DAB EuroPro 200 M nameplate: 2 HP, 1.9 kW, 2800 rpm, 31 to 26 m3/h, 220 to 240 V, IP55.
03_nameplates/05_acid-drum-label-36pc.jpg	photo	3594726	4080x3072	2026-09-06 22:56:51		a0f5370a89a027f706d48c7f2f21b4e220b53db424b6060c5e869ebe004ee7bd	The drum label: ACIDO SOLFORICO 36%, UN 2796, class 8, H314, 25 kg, sold by Siac srl as battery electrolyte. Not chlorine, whatever the printed sheet calls it.
